24708.945,6.05,1.732,1.279,0.977,4.679
24708.961,6.028,1.727,1.283,0.97,4.708
24708.977,5.973,1.735,1.289,0.983,4.773
24708.992,5.892,1.752,1.307,1.006,4.864
24709.008,5.776,1.775,1.345,1.037,4.983
24709.023,5.65,1.811,1.399,1.076,5.128
24709.039,5.53,1.858,1.444,1.119,5.287
24709.055,5.414,1.905,1.487,1.166,5.435
24709.07,5.325,1.939,1.546,1.215,5.561
24709.086,5.274,1.964,1.601,1.255,5.68
24709.101,5.242,1.994,1.629,1.294,5.785
24709.133,5.219,2.016,1.648,1.335,5.85
24709.148,5.205,2.014,1.67,1.366,5.878
24709.164,5.204,2.007,1.69,1.378,5.886
24709.179,5.226,2.013,1.712,1.38,5.895
24709.195,5.267,2.022,1.731,1.386,5.915
24709.211,5.309,2.028,1.739,1.396,5.926
24709.226,5.341,2.033,1.749,1.416,5.928
24709.242,5.365,2.033,1.766,1.441,5.943
24709.257,5.384,2.04,1.781,1.458,5.979
24709.273,5.39,2.055,1.785,1.489,6.025
24709.289,5.381,2.062,1.788,1.532,6.061
24709.304,5.373,2.054,1.803,1.57,6.077
24709.32,5.375,2.044,1.824,1.595,6.102
24709.335,5.386,2.051,1.836,1.606,6.136
24709.351,5.399,2.062,1.84,1.611,6.156
24709.367,5.403,2.068,1.841,1.619,6.159
24709.382,5.417,2.066,1.843,1.625,6.148
24709.398,5.442,2.064,1.847,1.615,6.144
24709.413,5.462,2.069,1.851,1.606,6.16
24709.429,5.459,2.081,1.85,1.613,6.184
24709.445,5.43,2.086,1.852,1.627,6.195
24709.46,5.385,2.083,1.861,1.642,6.196
24709.476,5.336,2.088,1.871,1.661,6.205
24709.491,5.284,2.099,1.88,1.685,6.227
24709.507,5.211,2.106,1.892,1.714,6.253
24709.523,5.121,2.108,1.917,1.746,6.274
24709.538,5.036,2.108,1.946,1.763,6.307
24709.554,4.96,2.106,1.968,1.763,6.358
24709.569,4.885,2.1,1.986,1.764,6.413
24709.585,4.809,2.089,2.002,1.77,6.467
24709.601,4.751,2.075,2.012,1.781,6.51
24709.616,4.724,2.067,2.02,1.795,6.545
24709.632,4.716,2.072,2.03,1.802,6.582
24709.647,4.699,2.076,2.039,1.807,6.622
24709.663,4.667,2.076,2.051,1.818,6.654
24709.679,4.638,2.081,2.076,1.832,6.673
24709.694,4.62,2.093,2.116,1.84,6.7
24709.71,4.606,2.109,2.154,1.848,6.74
24709.725,4.581,2.126,2.175,1.857,6.774
24709.741,4.554,2.131,2.183,1.872,6.787
24709.788,4.541,2.121,2.191,1.889,6.803
24709.803,4.538,2.113,2.201,1.894,6.828
24709.819,4.53,2.112,2.201,1.906,6.844
24709.835,4.503,2.116,2.189,1.937,6.85
24709.85,4.463,2.124,2.188,1.976,6.842
24709.866,4.425,2.127,2.206,2.017,6.85
24709.881,4.394,2.13,2.243,2.045,6.887
24709.897,4.357,2.149,2.297,2.066,6.936
24709.913,4.314,2.185,2.357,2.097,6.998
24709.928,4.262,2.226,2.413,2.127,7.06
24709.944,4.185,2.27,2.476,2.146,7.115
24709.959,4.106,2.317,2.558,2.164,7.187
24709.975,4.032,2.357,2.653,2.192,7.268
24709.991,3.952,2.381,2.748,2.225,7.332
24709.993,3.884,2.403,2.827,2.258,7.388
24710.009,3.835,2.426,2.889,2.283,7.45
24710.024,3.792,2.449,2.937,2.302,7.513
24710.04,3.755,2.469,2.967,2.326,7.57
24710.055,3.732,2.478,2.992,2.355,7.619
24710.071,3.728,2.483,3.021,2.364,7.64
24710.087,3.734,2.49,3.053,2.348,7.628
24710.102,3.74,2.492,3.069,2.332,7.614
24710.118,3.747,2.49,3.065,2.321,7.594
24710.133,3.767,2.484,3.065,2.305,7.544
24710.149,3.8,2.472,3.072,2.277,7.48
24710.165,3.844,2.466,3.073,2.245,7.427
24710.18,3.891,2.465,3.073,2.224,7.386
24710.196,3.929,2.467,3.07,2.21,7.326
24710.211,3.969,2.465,3.07,2.189,7.239
24710.227,4.017,2.458,3.075,2.16,7.156
24710.243,4.063,2.452,3.069,2.122,7.088
24710.258,4.105,2.45,3.054,2.084,7.02
24710.274,4.142,2.446,3.045,2.055,6.938
24710.289,4.183,2.435,3.039,2.026,6.843
24710.305,4.241,2.419,3.026,1.991,6.765
24710.321,4.309,2.411,3.001,1.962,6.711
24710.336,4.38,2.407,2.967,1.942,6.661
24710.352,4.442,2.392,2.936,1.927,6.607
24710.367,4.491,2.37,2.909,1.914,6.562
24710.383,4.546,2.356,2.879,1.892,6.527
24710.399,4.601,2.348,2.849,1.874,6.502
24710.414,4.635,2.343,2.82,1.871,6.485
24710.43,4.667,2.34,2.804,1.867,6.468
24710.445,4.699,2.338,2.803,1.857,6.46
24710.461,4.725,2.34,2.809,1.854,6.471
24710.492,4.74,2.351,2.81,1.863,6.488
24710.523,4.748,2.36,2.809,1.869,6.501
24710.539,4.762,2.359,2.811,1.872,6.499
24710.555,4.775,2.357,2.812,1.887,6.492
24710.57,4.792,2.362,2.801,1.896,6.488
24710.586,4.808,2.371,2.783,1.885,6.478
24710.601,4.821,2.37,2.766,1.878,6.464
24710.617,4.843,2.357,2.753,1.872,6.436
24710.633,4.87,2.351,2.744,1.856,6.386
24710.648,4.889,2.353,2.722,1.845,6.346
24710.664,4.89,2.356,2.682,1.843,6.319
24710.679,4.887,2.354,2.65,1.843,6.29
24710.695,4.893,2.344,2.632,1.838,6.27
24710.711,4.91,2.34,2.619,1.827,6.265
24710.726,4.924,2.344,2.601,1.825,6.276
24710.742,4.919,2.343,2.575,1.827,6.281
24710.757,4.907,2.334,2.563,1.826,6.269
24710.773,4.91,2.335,2.562,1.82,6.251
24710.789,4.93,2.348,2.551,1.812,6.216
24710.804,4.962,2.353,2.522,1.806,6.176
24710.82,4.991,2.346,2.487,1.802,6.139
24710.835,5.014,2.34,2.459,1.794,6.105
24710.851,5.05,2.342,2.434,1.779,6.087
24710.867,5.099,2.356,2.399,1.763,6.074
24710.882,5.144,2.367,2.356,1.749,6.043
24710.898,5.181,2.348,2.317,1.735,6.001
24710.913,5.213,2.31,2.288,1.718,5.968
24710.929,5.241,2.282,2.272,1.699,5.947
24710.945,5.265,2.269,2.26,1.688,5.942
24710.96,5.275,2.271,2.245,1.689,5.944
24710.976,5.277,2.277,2.23,1.69,5.929
24710.991,5.286,2.269,2.222,1.682,5.909
24711.007,5.305,2.253,2.216,1.676,5.911
24711.01,5.316,2.244,2.204,1.68,5.928
24711.025,5.309,2.235,2.196,1.691,5.951
24711.041,5.291,2.225,2.21,1.706,5.978
24711.056,5.261,2.215,2.238,1.729,6.016
24711.072,5.231,2.21,2.266,1.751,6.066
24711.088,5.2,2.213,2.29,1.754,6.124
24711.103,5.176,2.216,2.308,1.756,6.178
24711.119,5.167,2.214,2.319,1.757,6.211
24711.15,5.159,2.214,2.332,1.753,6.218
24711.166,5.158,2.218,2.34,1.754,6.223
24711.181,5.163,2.222,2.333,1.763,6.232
24711.197,5.16,2.22,2.33,1.774,6.231
24711.212,5.157,2.21,2.339,1.775,6.229
24711.228,5.157,2.206,2.353,1.77,6.242
24711.244,5.151,2.211,2.365,1.778,6.274
24711.259,5.129,2.213,2.375,1.793,6.308
24711.275,5.104,2.207,2.39,1.801,6.32
24711.29,5.092,2.2,2.404,1.803,6.321
24711.306,5.095,2.205,2.411,1.804,6.335
24711.322,5.096,2.218,2.408,1.806,6.353
24711.337,5.089,2.229,2.405,1.81,6.358
24711.353,5.092,2.227,2.404,1.813,6.345
24711.368,5.109,2.217,2.405,1.81,6.336
24711.384,5.129,2.216,2.399,1.806,6.344
24711.4,5.146,2.22,2.376,1.804,6.352
24711.415,5.149,2.215,2.347,1.802,6.343
24711.431,5.141,2.205,2.326,1.796,6.332
24711.446,5.151,2.202,2.3,1.787,6.331
24711.462,5.174,2.203,2.256,1.78,6.337
24711.478,5.191,2.21,2.209,1.774,6.343
24711.493,5.208,2.224,2.175,1.769,6.327
24711.524,5.236,2.225,2.149,1.765,6.304
24711.54,5.271,2.215,2.128,1.757,6.302
24711.556,5.303,2.211,2.107,1.742,6.31
24711.571,5.325,2.214,2.081,1.726,6.301
24711.587,5.343,2.221,2.046,1.712,6.27
24711.602,5.369,2.221,2.006,1.688,6.224
24711.618,5.407,2.214,1.977,1.653,6.174
24711.634,5.44,2.211,1.96,1.619,6.126
24711.649,5.464,2.205,1.938,1.581,6.07
24711.665,5.498,2.187,1.903,1.537,5.999
24711.68,5.553,2.167,1.871,1.504,5.933
24711.696,5.62,2.153,1.835,1.48,5.879
24711.712,5.682,2.143,1.79,1.443,5.816
24711.727,5.743,2.129,1.751,1.415,5.737
24711.743,5.809,2.107,1.723,1.4,5.667
24711.758,5.859,2.093,1.701,1.383,5.621
24711.774,5.898,2.094,1.677,1.375,5.59
24711.79,5.925,2.1,1.655,1.371,5.562
24711.805,5.932,2.103,1.646,1.369,5.528
24711.821,5.944,2.105,1.645,1.361,5.51
24711.836,5.969,2.112,1.643,1.346,5.518
24711.852,5.979,2.114,1.636,1.341,5.537
24711.868,5.955,2.116,1.633,1.345,5.556
24711.883,5.921,2.121,1.646,1.347,5.591
24711.899,5.894,2.126,1.67,1.338,5.639
24711.914,5.867,2.14,1.694,1.335,5.681
24711.93,5.845,2.157,1.715,1.353,5.727
24711.946,5.817,2.163,1.738,1.369,5.779
24711.961,5.789,2.167,1.771,1.373,5.832
24711.977,5.773,2.177,1.798,1.378,5.897
24711.992,5.76,2.189,1.802,1.394,5.964
24712.024,5.74,2.202,1.801,1.418,6.015
24712.039,5.72,2.208,1.804,1.447,6.048
24712.055,5.713,2.205,1.804,1.472,6.08
24712.07,5.73,2.21,1.814,1.481,6.113
24712.086,5.759,2.221,1.829,1.49,6.136
24712.102,5.78,2.236,1.832,1.503,6.145
24712.117,5.796,2.251,1.829,1.513,6.147
24712.133,5.816,2.248,1.827,1.516,6.156
24712.148,5.834,2.242,1.831,1.516,6.176
24712.164,5.84,2.246,1.837,1.525,6.201
24712.18,5.834,2.245,1.837,1.537,6.213
24712.195,5.835,2.237,1.838,1.541,6.203
24712.211,5.854,2.231,1.843,1.534,6.195
24712.226,5.887,2.225,1.841,1.512,6.193
24712.242,5.916,2.218,1.827,1.481,6.176
24712.258,5.941,2.211,1.808,1.461,6.123
24712.273,5.986,2.2,1.786,1.447,6.047
24712.289,6.047,2.189,1.762,1.427,5.977
24712.304,6.097,2.18,1.738,1.41,5.924
24712.32,6.129,2.179,1.714,1.396,5.878
24712.336,6.151,2.173,1.692,1.393,5.831
24712.351,6.167,2.163,1.663,1.396,5.794
24712.367,6.187,2.161,1.64,1.4,5.773
24712.382,6.202,2.156,1.617,1.401,5.764
24712.398,6.201,2.147,1.587,1.38,5.753
24712.414,6.198,2.13,1.568,1.354,5.729
24712.429,6.211,2.107,1.561,1.34,5.703
24712.445,6.231,2.103,1.555,1.334,5.68
24712.46,6.244,2.112,1.537,1.337,5.663
24712.476,6.238,2.115,1.52,1.345,5.639
24712.492,6.236,2.107,1.526,1.35,5.61
24712.507,6.245,2.096,1.542,1.348,5.598
24712.523,6.247,2.094,1.548,1.35,5.602
24712.538,6.237,2.098,1.54,1.355,5.609
24712.554,6.217,2.093,1.539,1.354,5.608
24712.57,6.206,2.083,1.55,1.343,5.601
24712.585,6.202,2.082,1.562,1.335,5.604
24712.601,6.189,2.088,1.563,1.338,5.623
24712.616,6.166,2.099,1.558,1.347,5.631
24712.632,6.144,2.105,1.559,1.357,5.618
24712.648,6.136,2.094,1.566,1.353,5.615
24712.663,6.139,2.089,1.57,1.339,5.627
24712.679,6.137,2.093,1.567,1.341,5.643
24712.694,6.127,2.092,1.563,1.352,5.649
24712.71,6.123,2.094,1.563,1.361,5.637
24712.726,6.135,2.103,1.565,1.364,5.636
24712.741,6.156,2.112,1.572,1.356,5.655
24712.757,6.16,2.116,1.587,1.351,5.666
24712.772,6.144,2.112,1.605,1.353,5.656
24712.788,6.132,2.103,1.613,1.354,5.638
24712.804,6.135,2.094,1.616,1.355,5.635
24712.819,6.144,2.09,1.617,1.36,5.649
24712.835,6.147,2.097,1.61,1.365,5.666
24712.85,6.139,2.106,1.604,1.37,5.672
24712.866,6.137,2.109,1.607,1.372,5.669
24712.882,6.146,2.113,1.617,1.374,5.66
24712.897,6.152,2.115,1.617,1.381,5.662
24712.913,6.146,2.119,1.608,1.384,5.668
24712.928,6.136,2.119,1.607,1.386,5.658
24712.944,6.136,2.106,1.61,1.384,5.643
24712.96,6.146,2.099,1.612,1.37,5.642
24712.975,6.152,2.107,1.608,1.366,5.649
24712.991,6.147,2.112,1.599,1.372,5.647
24713.006,6.139,2.101,1.603,1.378,5.635
24713.022,6.138,2.087,1.614,1.374,5.631
24713.084,6.139,2.089,1.622,1.366,5.637
24713.1,6.134,2.101,1.63,1.368,5.654
24713.116,6.114,2.108,1.64,1.373,5.67
24713.131,6.098,2.116,1.648,1.372,5.673
24713.147,6.096,2.126,1.66,1.373,5.689
24713.162,6.095,2.134,1.674,1.376,5.724
24713.178,6.086,2.144,1.683,1.376,5.757
24713.194,6.07,2.151,1.69,1.384,5.786
24713.209,6.063,2.147,1.7,1.392,5.809
24713.225,6.061,2.145,1.719,1.385,5.823
24713.24,6.053,2.153,1.735,1.378,5.844
24713.256,6.035,2.164,1.737,1.384,5.868
24713.272,6.015,2.174,1.738,1.392,5.896
24713.287,6.01,2.193,1.739,1.392,5.922
24713.303,6.021,2.209,1.742,1.387,5.924
24713.318,6.027,2.199,1.741,1.387,5.923
24713.334,6.008,2.178,1.736,1.393,5.928
24713.35,5.981,2.16,1.739,1.395,5.918
24713.365,5.97,2.145,1.743,1.384,5.905
24713.381,5.977,2.142,1.746,1.375,5.907
24713.396,5.985,2.143,1.742,1.383,5.919
24713.412,5.977,2.139,1.736,1.399,5.921
24713.428,5.969,2.135,1.738,1.412,5.914
24713.443,5.967,2.135,1.741,1.411,5.92
24713.459,5.96,2.138,1.738,1.406,5.935
24713.474,5.952,2.138,1.735,1.408,5.947
24713.49,5.954,2.125,1.737,1.411,5.945
24713.506,5.965,2.109,1.738,1.407,5.936
24713.521,5.986,2.105,1.728,1.402,5.925
24713.537,6.003,2.105,1.702,1.397,5.894
24713.552,6.012,2.098,1.667,1.385,5.831
24713.568,6.033,2.073,1.635,1.365,5.736
24713.584,6.077,2.03,1.593,1.333,5.62
24713.599,6.143,1.988,1.532,1.287,5.487
24713.615,6.209,1.95,1.464,1.242,5.341
24713.63,6.27,1.902,1.394,1.193,5.185
24713.646,6.338,1.845,1.33,1.129,5.018
24713.662,6.427,1.795,1.273,1.067,4.858
24713.677,6.541,1.761,1.222,1.014,4.714
24713.693,6.661,1.737,1.17,0.963,4.577
24713.708,6.784,1.714,1.122,0.918,4.435
24713.724,6.905,1.684,1.081,0.875,4.294
24713.74,7.01,1.657,1.045,0.823,4.167
24713.755,7.115,1.64,1.016,0.775,4.062
24713.771,7.221,1.626,0.984,0.742,3.967
24713.786,7.315,1.609,0.959,0.719,3.851
24713.802,7.394,1.592,0.946,0.696,3.723
24713.818,7.443,1.578,0.937,0.677,3.613
24713.833,7.474,1.563,0.916,0.67,3.527
24713.849,7.488,1.553,0.885,0.662,3.454
24713.864,7.48,1.542,0.867,0.649,3.385
24713.88,7.464,1.521,0.858,0.633,3.334
24713.896,7.436,1.506,0.854,0.614,3.319
24713.911,7.377,1.501,0.848,0.612,3.335
24713.927,7.289,1.499,0.841,0.624,3.369
24713.942,7.193,1.498,0.852,0.64,3.427
24713.958,7.088,1.503,0.88,0.655,3.522
24713.974,6.957,1.525,0.908,0.675,3.655
24713.989,6.807,1.56,0.937,0.713,3.811
