47,x_avt,,x_avt,
5900,293,0,415,0
5920,295,0,416,0
5940,298,0,417,0
5960,300,0,418,0
5980,302,0,419,0
6000,305,0,420,0
6020,307,0,422,0
6040,309,0,423,0
6060,311,0,424,0
6080,313,0,425,0
6100,315,0,426,0
6120,318,0,427,0
6140,320,0,428,0
6160,322,0,430,0
6180,324,0,431,0
6200,326,0,434,0
6220,328,0,437,0
6240,329,0,440,0
6260,331,0,443,0
6280,332,0,446,0
6300,334,0,449,0
6320,335,0,452,0
6340,336,0,456,0
6360,337,0,459,0
6380,337,0,462,0
6400,339,0,465,0
6420,340,0,468,0
6440,341,0,471,0
6460,342,0,474,0
6480,342,0,477,0
6500,343,0,481,0
6520,344,0,484,0
6540,344,0,487,0
6560,345,0,490,0
6580,346,0,493,0
6600,347,0,497,0
6620,348,0,500,0
6640,350,0,504,0
6660,352,0,507,0
6680,354,0,511,0
6700,356,0,514,0
6720,359,0,518,0
6740,361,0,519,0
6760,363,0,521,0
6780,365,0,522,0
6800,368,0,523,0
6820,371,0,524,0
6840,374,0,525,0
6860,377,0,526,0
6880,379,0,527,0
6900,382,0,527,0
6920,385,0,528,0
6940,389,0,529,0
6960,392,0,529,0
6980,395,0,530,0
7000,398,0,530,0
7020,401,0,530,0
7040,404,0,530,0
7060,407,0,531,0
7080,410,0,531,0
7100,412,0,530,0
7120,415,0,530,0
7140,417,0,530,0
7160,420,0,529,0
7180,422,0,529,0
7200,424,0,528,0
7220,427,0,527,0
7240,429,0,527,0
7260,430,0,526,0
7280,431,0,526,0
7300,433,0,526,0
7320,434,0,525,0
7340,435,0,525,0
7360,436,0,525,0
7380,437,0,525,0
7400,438,0,525,0
7420,438,0,525,0
7440,438,0,524,0
7460,438,0,524,0
7480,439,0,525,0
7500,438,0,525,0
7520,437,0,525,0
7540,436,0,526,0
7560,435,0,527,0
7580,433,0,527,0
7600,432,0,528,0
7620,431,0,529,0
7640,429,0,530,0
7660,427,0,531,0
7680,425,0,532,0
7700,423,0,532,0
7720,420,0,533,0
7740,418,0,534,0
7760,416,0,534,0
7780,413,0,534,0
7800,411,0,535,0
7820,409,0,535,0
7840,406,0,535,0
7860,404,0,535,0
7880,402,0,534,0
7900,400,0,534,0
7920,398,0,535,0
7940,396,0,535,0
7960,393,0,535,0
7980,391,0,536,0
8000,389,0,537,0
8020,387,0,538,0
8040,386,0,539,0
8060,384,0,540,0
8080,382,0,540,0
8100,380,0,541,0
8120,379,0,542,0
8140,378,0,543,0
8160,376,0,544,0
8180,375,0,544,0
8200,374,0,545,0
8220,372,0,545,0
8240,371,0,546,0
8260,370,0,546,0
8280,368,0,547,0
8300,366,0,546,0
8320,365,0,545,0
8340,363,0,544,0
8360,361,0,543,0
8380,360,0,542,0
8400,358,0,541,0
8420,356,0,540,0
8440,355,0,539,0
8460,354,0,539,0
8480,353,0,538,0
8500,351,0,538,0
8520,350,0,539,0
8540,349,0,540,0
8560,348,0,541,0
8580,347,0,542,0
8600,346,0,543,0
8620,345,0,544,0
8640,344,0,545,0
8660,344,0,544,0
8680,343,0,543,0
8700,342,0,542,0
8720,342,0,541,0
8740,341,0,539,0
8760,341,0,538,0
8780,340,0,536,0
8800,340,0,534,0
8820,340,0,533,0
8840,339,0,531,0
8860,339,0,530,0
8880,340,0,528,0
8900,340,0,527,0
8920,341,0,525,0
8940,341,0,523,0
8960,342,0,521,0
8980,342,0,519,0
9000,343,0,516,0
9020,343,0,514,0
9040,344,0,512,0
9060,344,0,509,0
9080,345,0,507,0
9100,345,0,505,0
9120,345,0,503,0
9140,346,0,500,0
9160,346,0,498,0
9180,347,0,496,0
9200,347,0,493,0
9220,348,0,491,0
9240,348,0,489,0
9260,349,0,486,0
9280,349,0,484,0
9300,350,0,482,0
9320,350,0,480,0
9340,351,0,477,0
9360,351,0,475,0
9380,352,0,473,0
9400,352,0,470,0
9420,353,0,468,0
9440,353,0,466,0
9460,353,0,463,0
9480,354,0,461,0
9500,354,0,459,0
9520,355,0,457,0
9540,355,0,454,0
9560,356,0,452,0
9580,356,0,450,0
9600,357,0,447,0
9620,357,0,445,0
9640,358,0,443,0
9660,358,0,440,0
9680,359,0,438,0
9700,359,0,436,0
9720,360,0,434,0
9740,360,0,431,0
9760,361,0,429,0
9780,361,0,427,0
9800,361,0,424,0
9820,362,0,422,0
9840,362,0,420,0
9860,363,0,417,0
9880,363,0,415,0
9900,364,0,413,0
9920,364,0,411,0
9940,365,0,408,0
9960,365,0,406,0
9980,366,0,400,0
10000,475,0,525,0
10020,475,0,525,0
10040,475,0,525,0
10060,475,0,525,0
10080,475,0,525,0
10100,475,0,525,0
10120,475,0,525,0
10140,475,0,524,0
10160,475,0,524,0
10180,475,0,524,0
10200,475,0,523,0
10220,475,0,523,0
10240,475,0,523,0
10260,475,0,523,0
10280,475,0,522,0
10300,475,0,522,0
10320,475,0,522,0
10340,475,0,521,0
10360,475,0,520,0
10380,475,0,519,0
10400,475,0,518,0
10420,475,0,517,0
10440,475,0,516,0
10460,475,0,515,0
10480,475,0,514,0
10500,475,0,513,0
10520,475,0,512,0
10540,475,0,511,0
10560,475,0,510,0
10580,475,0,509,0
10600,475,0,507,0
10620,475,0,504,0
10640,475,0,501,0
10660,475,0,498,0
10680,475,0,495,0
10700,473,0,492,0
10720,468,0,489,0
10740,464,0,487,0
10760,458,0,486,0
10780,453,0,485,0
10800,447,0,484,0
10820,442,0,484,0
10840,436,0,483,0
10860,432,0,482,0
10880,429,0,482,0
10900,426,0,481,0
10920,422,0,480,0
10940,419,0,480,0
10960,416,0,479,0
10980,413,0,479,0
11000,411,0,478,0
11020,410,0,478,0
11040,408,0,477,0
11060,407,0,477,0
11080,405,0,476,0
11100,404,0,476,0
11120,402,0,476,0
11140,401,0,476,0
11160,398,0,475,0
11180,395,0,475,0
11200,393,0,475,0
11220,390,0,474,0
11240,387,0,474,0
11260,385,0,473,0
11280,382,0,473,0
11300,380,0,472,0
11320,379,0,472,0
11340,377,0,470,0
11360,375,0,469,0
11380,374,0,467,0
11400,372,0,466,0
11420,371,0,464,0
11440,369,0,462,0
11460,368,0,461,0
11480,366,0,459,0
11500,365,0,457,0
11520,363,0,456,0
11540,362,0,454,0
11560,361,0,453,0
11580,359,0,451,0
11600,358,0,450,0
11620,357,0,449,0
11640,355,0,449,0
11660,354,0,448,0
11680,353,0,448,0
11700,352,0,447,0
11720,351,0,447,0
11740,350,0,446,0
11760,350,0,446,0
11780,350,0,445,0
11800,350,0,445,0
11820,349,0,445,0
11840,349,0,444,0
11860,348,0,444,0
11880,348,0,444,0
11900,347,0,443,0
11920,346,0,442,0
11940,345,0,442,0
11960,344,0,441,0
11980,343,0,440,0
12000,342,0,439,0
12020,340,0,438,0
12040,339,0,438,0
12060,338,0,438,0
12080,338,0,437,0
12100,337,0,437,0
12120,336,0,437,0
12140,336,0,437,0
12160,335,0,436,0
12180,334,0,437,0
12200,333,0,437,0
12220,333,0,437,0
12240,332,0,437,0
12260,331,0,438,0
12280,330,0,438,0
12300,330,0,439,0
12320,329,0,440,0
12340,329,0,441,0
12360,328,0,441,0
12380,327,0,442,0
12400,326,0,443,0
12420,325,0,445,0
12440,325,0,448,0
12460,325,0,450,0
12480,325,0,452,0
12500,326,0,455,0
12520,327,0,457,0
12540,328,0,460,0
12560,329,0,463,0
12580,330,0,465,0
12600,332,0,468,0
12620,334,0,470,0
12640,336,0,473,0
12660,339,0,476,0
12680,342,0,478,0
12700,344,0,481,0
12720,347,0,482,0
12740,349,0,484,0
12760,352,0,486,0
12780,355,0,487,0
12800,359,0,489,0
12820,362,0,491,0
12840,365,0,492,0
12860,368,0,494,0
12880,371,0,495,0
12900,375,0,496,0
12920,378,0,498,0
12940,382,0,499,0
12960,385,0,500,0
12980,389,0,501,0
13000,393,0,503,0
13020,397,0,504,0
13040,401,0,505,0
13060,405,0,506,0
13080,408,0,508,0
13100,411,0,509,0
13120,414,0,510,0
13140,417,0,512,0
13160,420,0,513,0
13180,423,0,515,0
13200,426,0,517,0
13220,429,0,518,0
13240,430,0,520,0
13260,431,0,522,0
13280,433,0,524,0
13300,434,0,525,0
13320,436,0,526,0
13340,437,0,528,0
13360,438,0,529,0
13380,440,0,529,0
13400,441,0,530,0
13420,443,0,531,0
13440,444,0,532,0
13460,446,0,533,0
13480,448,0,534,0
13500,451,0,535,0
13520,453,0,536,0
13540,455,0,538,0
13560,456,0,539,0
13580,457,0,540,0
13600,458,0,541,0
13620,459,0,543,0
13640,459,0,544,0
13660,460,0,545,0
13680,461,0,546,0
13700,461,0,548,0
13720,462,0,549,0
13740,463,0,550,0
13760,463,0,551,0
13780,464,0,553,0
13800,465,0,554,0
13820,465,0,555,0
13840,466,0,556,0
13860,467,0,558,0
13880,467,0,559,0
13900,468,0,560,0
13920,469,0,561,0
13940,470,0,563,0
13960,470,0,564,0
13980,471,0,565,0
14000,472,0,566,0
14020,472,0,568,0
14040,473,0,569,0
14060,474,0,570,0
14080,474,0,571,0
14100,475,0,573,0
14120,476,0,574,0
14140,476,0,575,0
14160,477,0,576,0
14180,478,0,578,0
14200,478,0,579,0
14220,479,0,580,0
14240,480,0,581,0
14260,480,0,583,0
14280,482,0,584,0
14300,483,0,585,0
14320,485,0,587,0
14340,475,0,525,0
14360,475,0,525,0
14380,475,0,525,0
14400,475,0,525,0
14420,475,0,525,0
14440,475,0,525,0
14460,475,0,525,0
14480,475,0,526,0
14500,475,0,526,0
14520,475,0,526,0
14540,475,0,527,0
14560,475,0,528,0
14580,475,0,528,0
14600,475,0,529,0
